Zona,Tipo de Trabalho,Nº de Vagas
Porto,Android Developer,2
Porto,Full Stack Developer .Net com Angular,1
Porto,Product Manager,2
Porto,TOSCA Automation Tester,1
Porto,Power BI Developer,1
Porto,Cibersecurity Project Manager,1
Porto,C++ Developer,5
Porto,Operating Systems Linux,1
Porto,Helpdesk - PT e ENG,1
Porto,Linux/Unix SysAdmin,1
Porto,Power Platform Developer,1
Porto,Data Engineer,7
Porto,Junior Cloud Engineer,1
Porto,Outsystems Developer,2
Porto,Full Stack Developer .Net com React,1
Porto,IT Project Manager - Ecommerce,1
Porto,Developer .NET,2
Porto,D365 Business Central Technical Consultant,1
Porto,Product Owner,2
Porto,Linux Application Support,1
Porto,Full Stack Developer Java com Angular,1
Porto,D365 F&O Specialist,1
Porto,Incident Manager (Fluent in French),1
Porto,React & Next.js Developer,1
Porto,React Developer,1
Porto,Senior Java Developer,5
Porto,Senior Data Scientist - Hybrid,1
Porto,Java Developer,11
Porto,DevOps Engineer (Azure),2
Porto,Release Manager,2
Porto,Mid Product Manager,1
Porto,Test Leader,1
Porto,Cobol Developer,1
Porto,.Net Developer,3
Porto,DevOps Engineer (AWS),2
Porto,System Administrator (Windows/Linux),1
Porto,Senior Fullstack Developer (Node.JS / Angular),1
Porto,Consultor SAP - Logística,1
Porto,Fullstack Desenvolvedor Liferay,1
Porto,DevOps Tech Lead,1
Porto,Salesforce Developer ,1
Porto,Junior DevOps Engineer,2
Porto,Data Scientist,2
Porto,Calculation Engines - CI/CD and Release Management Support,1
Porto,Cyber Security Consultant,1
Porto,DevOps,3
Porto,SAP ABAP Developer,1
Porto,.NET Core Middle Developer,1
Porto,Backend Engineer - Node.js,1
Porto,.NET & NodeJS Backend Developer,1
Porto,Python Developer,1
Porto,Data Developer (Finance),1
Porto,Senior Equipment Integration Engineer,1
Porto,Software Engineer - Lucee Developer,1
Porto,ReactJS Architect,1
Porto,Azure AD Specialist,1
Porto,Senior Backend Engineer,1
Porto,Senior Back-End Developer,1
Porto,Python Data Engineer,1
Porto, Software Engineer - Angular Developer,1
Porto,Junior Project Manager,1
Porto,Senior .NET Developer,4
Porto,Site Reliability Engineer (SRE),1
Porto,Systems Administrator,1
Porto,CyberSecurity Specialist,1
Porto,Data Analyst,6
Porto,C# Developer,1
Porto,Backend developer with NodeJS,1
Porto,Product Owner (Supply Chain),1
Porto,Information Technology Trainer,1
Porto,Consultor e Programador de Soluções BPM,1
Porto,Java Backend Developer,1
Porto,DevOps Engineer,5
Porto,DevOps Engineer (GCP),1
Porto,Golang Developer,3
Porto,Oracle PL/SQL Developer ,1
Porto,Lead Fullstack Developer (Node.JS / Angular),1
Porto,Software Engineer - React Developer,1
Porto,QA Automático,2
Porto,Power Platform Expert (French Speaker),1
Porto,Automation Tester,2
Porto,Sysadmin,1
Porto,Technical Writer,1
Porto,Team Leader ERP Dynamics AX,1
Porto,Técnico de Informática,2
Porto,QA Automation Tester,1
Porto,Embedded System Engineer,1
Porto,Test Automation Engineer,1
Porto,QA (Manual),1
Porto,UI/UX Designer,1
Porto,Ecommerce/Digital Analyst,1
Porto,Senior Test Automation Engineer,1
Porto,IT Analyst,1
Porto,IT Network Specialist,1
Porto,Java Developer (Springboot),1
Porto,Cobol developer,1
Porto,Security Expert,1
Porto,Digital Content Specialist,1
Porto,Developer Back-end or Full-stack Java,1
Porto,Digital Content Manager,1
Porto,Software Engineer – Java Fullstack,1
Porto,Project Manager,1
Porto,SAP FI/CO,1
Porto,DBA Oracle Consultant,1
Porto,Quality Assurance Specialist,1
Porto,Backend developer,1
Porto,Senior DevOps/Platform Engineer,1
Porto,Software Architect,1
Porto,Windows System Administrator,1
Porto,Cloud Engineer,2
Porto,.NET Developer,3
Porto,Full Stack Engineer (JAVA + Angular),1
Porto,Quality Engineer,1
Porto,CSD Architect,1
Porto,Senior SAP QM Consultant,1
Porto,Técnico em Redes e Sistemas Informáticos - Estágio Profissional IEFP,1
Porto,Vue js Developer,2
Porto,Cyber Security Engineer,1
Porto,QA Funcional,1
Porto,IT Architect - Network,1
Porto,Senior C# Software Engineer (Cloud),1
Porto,Senior Project Manager,1
Porto,Senior Product Manager Digital Solutions,1
Porto,Programador C/C++,1
Porto,GO Developer,1
Porto,Fullstack .NET Developer,2
Porto,React Native Developer,1
Porto,Sénior .Net Developer,1
Porto,QA Automação,1
Porto,QA Functional,1
Porto,Senior Front-End Developer (i.e. React.js),1
Porto,Oracle APEX Developer,1
Porto,Frontend Developer,1
Porto,Senior DBA w/ PostgreSQL & SQL server,1
Porto,PL/SQL Developer,1
Porto,Consultor(a) de Testes,1
Porto,Cloud Architect,1
Porto,Microsoft BI Expert,1
Porto,Business Analyst with Salesforce experience,1
Porto,Intermediate Front-End Developer (i.e. React.js),1
Porto,IT Helpdesk,1
Porto,ETL PowerCenter Expert,1
Porto,Developer Dynamics 365,1
Porto,Quality Assurance Tester,1
Porto,Backend Developer & Data Specialist,1
Porto,Python Dev (Django),1
Porto,Cloud Data Engineer,1
Porto,Web Developer Full Stack,1
Porto,Kotlin Developer,1
Porto,Process Manager,1
Porto,Sénior Java Developer,1
Porto,Power Apps Senior Developer,1
Porto,System Engineer - DevOps,1
Porto,Flutter Developer,1
Porto,Power BI Developer and Team Leader,1
Porto,FullStack Developer,1
Porto,SAP BW Developer,1
Porto,Umbraco Developer,1
Porto,Oracle DBA,2
Porto,Salesforce Consultant,1
Porto,Fullstack Developer (Node.JS / Angular),1
Porto,Site Reliability Engineering,1
Porto,DevOps Engineer (on prem),1
Porto,PHP Developer,2
Porto,Nearshore - Software Engineer - NET Developer,1
Porto,React Native Senior Developer,1
Porto,Backend Developer - Node.js,1
Porto,Senior AEM Developer,1
Porto,Information Technology Instructor,1
Porto,QA Analyst,1
Porto,Developer em Sistemas de Energia (C/C++),1
Porto,iOS Developer,1
Porto,Business Analyst (IT Risk and Cyber Security),1
Porto,Mobile Developer (Kotlin),1
Porto,Software Engineer (DevOps),1
Porto,Scrum Master,1
Porto,QA Engineer - Automation,1
Porto,Manual Tester,1
Porto,Fullstack Developer – NodeJS & Angular,1
Porto,Information Security Analyst,1
Porto,Analista Programador Mainframe,1
Porto,Functional Tester,3
Porto,Senior Data Analyst,1
Porto,Data analyst (Alteryx),1
Porto,QA Engineer,1
Porto,Recém-Licenciado / Mestre em Engenharia Informática,1
Porto,Linux Systems Administrator,1
Porto,Project Manager / Scrum Master (Data),1
Porto,Senior Back-End Developer (Python),1
Porto,Data Engineer- Mid,1
Porto,Cloud Operations Specialist,1
Porto,Business Manager,1
Porto,"Intermediate Fullstack Developer (i.e. React.js, Node.js, Python)",1
Porto,JAVA Engineer,1
Porto,Salesforce Mid Developer,1
Porto,Incident Manager (With French),1
Porto,Drupal Developer,1
Porto,Fullstack developer .NET/REACT,1
Porto,Senior Data Engineer,2
Porto,Fullstack .NET and REACT,1
Porto,.Net Software Developer,2
Porto,Accipiens Developer,1
Porto,Microsoft Dynamics 365 Developer,1
Porto,SAP PP Consultant,1
Porto,Mobile Consultant (IOS),1
Porto,Common IT Platforms & Services Manager,1
Porto,Junior DevOps,1
Porto,Microsoft Dynamics CRM 365,1
Porto,SAP Ariba Consultant,1
Porto,Senior DevOps Expert,1
Porto,RPA (Blue Prism) Developer,1
Porto,Software Engineer (JAVA),1
Porto,Product Manager with Ecommerce Experience,1
Porto,Rexx Developer,1
Porto,iOS developer,1
Porto,Automation tester (QAE),1
Porto,Software Engineer - Senior .NET Developer,1
Porto,AI Architect,1
Porto,Business Analyst,2
Porto,Senior Application Support Engineer,3
Porto,Head of Group Data Delivery,1
Porto,QA Automation Engineer Senior level,1
Porto,​​​​​​​Infrastructure Engineer - Azure Cloud Engineer,1
Porto,Application Support  Engineer - PL/SQL,1
Porto,Senior Frontend Developer,1
Porto,Automation Engineer Senior level,1
Porto,Senior Azure DevOps Engineer,1
Porto,SAP Consultant,2
Porto,Frontend Developer - Angular,1
Porto,Mulesoft Architect,1
Porto,API Architect,1
Porto,Security Engineer,1
Porto,Mulesoft Developer,1
Porto,Analista Funcional Júnior,1
Porto,Fullstack Developer - .NET & Angular,1
Porto,Backend Developer - Java,1
Porto,PL/SQL Consultant,1
Porto,RPA Developer,2
Porto,Fullstack Developer - Java & Angular,1
Porto,Software Engineer (C++),1
Porto,IAM Engineer,1
Porto,Backend Developer  - .NET,1
Porto,Senior Cloud Engineer (Azure),1
Porto,Business Intelligence Developer,2
Porto,Fullstack (Node + React),1
Porto,Data Driven | Lead Data Engineer / Lead Data Architect,1
Porto,SOA Developer (Júnior),1
Porto,System Administrator Linux,1
Porto,JAVA Developer,2
Porto,Data Driven | Data Functional Analyst,1
Porto,Backend Engineer,1
Porto,Retail & E-Commerce | SOC Analyst,1
Porto,Software Engineer,1
Porto,Android Engineer,1
Porto,Cloud Backend Developer (NodeJS & AWS),1
Porto,Agile Program Manager,1
Porto,Backend Software Engineer,1
Porto,IT Project Manager,1
Porto,Field Technician,1
Porto,Senior QA Automation Engineer with Flutter,1
Porto,Retail & E-Commerce | IAM Engineer (Microsoft),1
Porto,PL/SQL Developer (Murex),1
Porto,Applications Analyst/ Consultor Junior SAP,1
Porto,ServiceNow Business Analyst,1
Porto,IT Project Manager - Risk  | DVT Cyber Trust,1
Porto,CRM – Dynamics 365 Developer,1
Porto,Senior Back-End Developer (i.e. Node.js),1
Porto,Quality Assurance Researcher,1
Porto,Software Engineer – Android Mobile Developer (Kotlin),1
Porto,Java Expert,1
Porto,Suporte / Helpdesk Plataforma SaaS,1
Porto,Programador/Web Designer,1
Porto,Intermediate Project Manager,1
Porto,Data Architect,1
Porto,Junior Java Developer,1
Porto,IT Project Manager (Cybersecurity & Digital Fraud),1
Porto,Support Engineer,1
Porto,Software Engineer – .NET Developer,1
Porto,Senior Fullstack Java Developer,1
Porto,Digital Business & Products Consultant,1
Porto,Fullstack Developer (Java+ React),1
Porto,ServiceNow Developer,1
Porto,Junior Quality Tester,1
Porto,.NET DEVELOPER,1
Porto,DataOps Engineer,1
Porto,Full stack Java/React Developer,1
Porto,Incident Manager French,1
Porto,Infrastructure Engineer – Senior DevOps Engineer,1
Porto,Senior Java/Kotlin Developer,1
Porto,Senior Quality Assurance Engineer,1
Porto,Java Developer Specialist,1
Porto,ServiceNow Consultant,1
Porto,ServiceNow Developer/System Administrator,1
Porto,Quality Expert,1
Porto,"Senior QA Engineer (Xray, Playwright)",1
Porto,Application Support - OutSystems,1
Porto,Backend Developer  - .NET & Windows Forms,1
Porto,Mid Fullstack .NET,1
Lisboa,Infrastructure Cloud Engineer,1
Lisboa,Cloud Specialist,1
Lisboa,Data Engineer,13
Lisboa,Network Integration Engineer,1
Lisboa,Business Analyst,6
Lisboa,Administador de Sistemas - Storage/Backups,1
Lisboa,Cybersecurity Engineer,1
Lisboa,Administrador de Sistemas,1
Lisboa,IT Project Manager,2
Lisboa,Operating Systems Linux,1
Lisboa,GRC,1
Lisboa,Systems Administrator,2
Lisboa,Gestor de Operações de Redes,1
Lisboa,Drupal Developer,2
Lisboa,Angular Developer,1
Lisboa,PHP Developer,6
Lisboa,Fullstack Developer,1
Lisboa,Application Support – L3,1
Lisboa,Tosca Automation Tester,1
Lisboa,Helpdesk - PT e ENG,1
Lisboa,IT Data Governance,1
Lisboa,Instructional Designer Junior,1
Lisboa,Incident Manager (French Speaker),1
Lisboa,Linux/Unix SysAdmin,1
Lisboa,Cibersecurity Project Manager,1
Lisboa,Cloud Data Engineer ,2
Lisboa,Engenheiro/a de Identidade e Gestão de Acessos,1
Lisboa,Mobile Developer,3
Lisboa,IT Risk Analyst,1
Lisboa,Fullstack BPM Developer,1
Lisboa,M365 & Exchange Support Engineer (German Speaker),1
Lisboa,Developer Flutter,1
Lisboa,Senior React Developer,2
Lisboa,Risk Officer,1
Lisboa,Junior Cloud Engineer,1
Lisboa,System Administrator (Windows/Linux),1
Lisboa,Outsystems Developer,4
Lisboa,Developer .NET,2
Lisboa,Vulnerability Management Analyst,1
Lisboa,D365 Business Central Technical Consultant,1
Lisboa,Functional Support Engineer (French Speaker),1
Lisboa,Incident Problem Manager,1
Lisboa,Product Owner,4
Lisboa,Application Production Support,3
Lisboa,Scrum Master,6
Lisboa,Application Support – L2,1
Lisboa,Full Stack Developer Java com Angular,1
Lisboa,Golang Developer,3
Lisboa,D365 F&O Specialist,1
Lisboa,Data Scientist,9
Lisboa,React & Next.js Developer,1
Lisboa,Java Developer,15
Lisboa,ELK Consultant,1
Lisboa,Cobol Payment Specialist,1
Lisboa,QA,1
Lisboa,Vlocity / Salesforce Industries Developer,1
Lisboa,DevOps Engineer (Azure),2
Lisboa,Python Developer,3
Lisboa,Test Leader,1
Lisboa,QA Automação,4
Lisboa,Frontend Developer,10
Lisboa,Data Analyst,9
Lisboa,DevOps Engineer,8
Lisboa,DevOps Engineer (AWS),2
Lisboa,FrontEnd Web Developer,1
Lisboa,Senior Fullstack Developer (Node.JS / Angular),1
Lisboa,COBOL Developer,1
Lisboa,Full Stack  Developer (Java + Angular),1
Lisboa,Programadores Especialistas em Laravel e APIs REST,1
Lisboa,Tech Lead - InsurTech Company (PHP/Laravel),1
Lisboa,Técnico de Redes – 1ª Linha,1
Lisboa,Consultor IAM- Sailpoint IdentitylQ,1
Lisboa,DevOps Tech Lead,1
Lisboa,Mobile Developer (SDK Expertise),1
Lisboa,Linux Application Support,1
Lisboa,Administrador de bases de dados Oracle,1
Lisboa,Linux SysAdmin,1
Lisboa,Programador C#.Net,1
Lisboa,Azure Cloud Specialist,1
Lisboa,Generative AI Developer,1
Lisboa,.NET Developer,9
Lisboa,Administrador de sistemas,1
Lisboa,Junior DevOps Engineer,1
Lisboa,Azure Machine Learning,1
Lisboa,Cyber Security Consultant,1
Lisboa,Frontend Engineer,1
Lisboa,Infrastructure Kubernetes Specialist,1
Lisboa,Intermediate UX/UI Designer,1
Lisboa,Business Analyst – Gestão/ Consultoria Estratégica,1
Lisboa,.NET Core Middle Developer,1
Lisboa,Cyber Security,1
Lisboa,Data Engineer (AWS),1
Lisboa,System Administrator – Microsoft – German Speaker,1
Lisboa,Senior TypeScript Developer,1
Lisboa,Data Developer (Finance),1
Lisboa,Consultor BI Senior,1
Lisboa,React Developer,6
Lisboa,Senior Business Analyst,1
Lisboa,Project Manager,5
Lisboa,Support Specialist,1
Lisboa,Gestor de Projeto,1
Lisboa,FullStack Developer (NodeJS & React),1
Lisboa,Software Engineer - Lucee Developer,1
Lisboa,PMO,2
Lisboa,Program Manager,1
Lisboa,Oracle PL/SQL Developer ,1
Lisboa,Product Manager,2
Lisboa,Senior Cobol Developer,1
Lisboa,DevSecOps,1
Lisboa,ReactJS Architect,1
Lisboa,Azure AD Specialist,1
Lisboa,Senior Back-End Developer,1
Lisboa, Software Engineer - Angular Developer,1
Lisboa,SOC Engineer,1
Lisboa,SecOps,1
Lisboa,Site Reliability Engineer (SRE),2
Lisboa,Junior Project Manager,1
Lisboa,Senior Functional Analyst,1
Lisboa,CyberSecurity Specialist,1
Lisboa,Backend Developer .NET with Azure,1
Lisboa,Backend developer with NodeJS,1
Lisboa,Mid .NET/Angular Developer,1
Lisboa,"Senior Software Product Developer – React, JavaScript, TDD/ATDD, XP",1
Lisboa,Product Owner (Supply Chain),1
Lisboa,Java Backend Developer,2
Lisboa,Software Engineer – Fullstack .NET Core and React,1
Lisboa,Scrum Master/ Agile Coach,1
Lisboa,Infrastructure Project Manager,1
Lisboa,Backend Developer (TypeScript),1
Lisboa,Hardware Integration Engineer,1
Lisboa,DevOps Engineer (GCP),1
Lisboa,Software Engineer – TIBCO Developer,1
Lisboa,IT Infrastructure Coordinator,1
Lisboa,Helpdesk Consultant,1
Lisboa,Backend Developer (.NET Core),1
Lisboa,Lead Fullstack Developer (Node.JS / Angular),1
Lisboa,Senior Java Developer,4
Lisboa,Machine Learning Engineer,1
Lisboa,Full Stack Developer Java (all genders),1
Lisboa,ETL Developer,3
Lisboa,Infrastructure Engineer – Site Reliability Engineer,1
Lisboa,Web Developer (Golang),1
Lisboa,Senior Service Manager,1
Lisboa,QA Automation,1
Lisboa,QA Engineer,3
Lisboa,Application Support Engineer,2
Lisboa,PL/SQL / Java Developer,1
Lisboa,Incident Manager,1
Lisboa,Software Engineer - React Developer,1
Lisboa,Cobol Developer,2
Lisboa,QA Automático,2
Lisboa,DevOps Consultant w/ Azure,1
Lisboa,FullStack Developer (.Net & Angular),1
Lisboa,Automation Tester,2
Lisboa,Frontend Developer Angular / React / Vue.js,1
Lisboa,Ruby on Rails Developer,2
Lisboa,Technical Support - Helpdesk & 1st Line Support,1
Lisboa,Cloud Engineer,5
Lisboa,Test Automation Engineer,2
Lisboa,Gestor de Projetos TI (junior),1
Lisboa,Software Architect,4
Lisboa,"Global Field Business Support, Specialist",1
Lisboa,SAP FI - S/4HANA Public Cloud Consultant,2
Lisboa,Data Engineer - AWS,1
Lisboa,Senior Test Automation Engineer,1
Lisboa,Functional Analyst,3
Lisboa,IT Analyst,1
Lisboa,Analista Programador Mainframe,1
Lisboa,(Junior) Developer Java,1
Lisboa,Consultor de Redes Sénior – CCNP,1
Lisboa,Product Manager (Cards),1
Lisboa,SAP ABAP Developer,1
Lisboa,Tech People Recruiter,1
Lisboa,Gestor de Projetos,2
Lisboa,Monitoring Platforms Consultant w/ Dynatrace,1
Lisboa,Back End Web Developer,1
Lisboa,IT Functional Analyst,1
Lisboa,SAGE X3 Consultant,1
Lisboa,Backend Developer Java,1
Lisboa,Cobol developer,1
Lisboa,Suporte Aplicacional,1
Lisboa,Software Engineer – Java Fullstack,1
Lisboa,.Net Software Developer,1
Lisboa,Service Lead,1
Lisboa,Software Engineer – Junior TIBCO Developer,1
Lisboa,Director of People and Organization,1
Lisboa,SAP Hana Consultant,1
Lisboa,QA Funcional,2
Lisboa,Senior DevOps/Platform Engineer,1
Lisboa,Java Tech Lead,1
Lisboa,Nearshore Business Manager – German Speaker,1
Lisboa,Full Stack Engineer (JAVA + Angular),1
Lisboa,Quality Engineer,1
Lisboa,Energy & Utilities Business Analyst ,1
Lisboa,Nearshore Business Manager,2
Lisboa,Quality Engineer - Analysis & Reporting,1
Lisboa,IT Service Desk Engineer,1
Lisboa,.Net Developer,2
Lisboa,Senior DevOps Engineer,1
Lisboa,BI Microsoft,1
Lisboa,Vue js Developer,2
Lisboa,Delivery Manager,1
Lisboa,IT Demand Specialist & Project Portfolio Coordination,1
Lisboa,Senior Cloud Engineer,1
Lisboa,Programador Java,1
Lisboa,Qlik Sense,1
Lisboa,Business Manager,2
Lisboa,Senior Project Manager,2
Lisboa,DevOps,4
Lisboa,Consultor Técnico PHC,1
Lisboa,Programador C/C++,1
Lisboa,Senior Data Engineering,1
Lisboa,Sales Administrative,1
Lisboa,Devops Engineer,1
Lisboa,GO Developer,1
Lisboa,Qlik Sense Senior,1
Lisboa,Sénior .Net Developer,1
Lisboa,QA Engineer - TOSCA Tester,1
Lisboa,Senior Mobile Developer,1
Lisboa,.Net & Drupal Developer/Tech Lead,1
Lisboa,Lead Data Scientist,1
Lisboa,Backend Developer (Node.js),1
Lisboa,FullStack Developer - Java & Angular,1
Lisboa,DWH Developer,1
Lisboa,Agile Analyst,1
Lisboa,Senior Front-End Developer (i.e. React.js),1
Lisboa,Test Analyst,1
Lisboa,Senior Java Backend Developer,1
Lisboa,Consultor(a) de Testes,1
Lisboa,Solution Designer,1
Lisboa,Performance Tech Lead,2
Lisboa,Data Scientist e Machine Learning Engineer,1
Lisboa,CRM Dynamics Developer,1
Lisboa,MERN Full Stack + Mobile Developer,2
Lisboa,Cloud Architect,1
Lisboa,Software Engineer (PHP/Laravel),1
Lisboa,IAM Analyst ,1
Lisboa,Cloud BackEnd Developer,1
Lisboa,Business Analyst with Salesforce experience,1
Lisboa,Intermediate Front-End Developer (i.e. React.js),1
Lisboa,Especialista em Gestão de Operações e Manutenção de Datacenters,1
Lisboa,SAP FICO Consultant,1
Lisboa,Junior Data Analytics Consultant,1
Lisboa,IT Helpdesk,1
Lisboa,Helpdesk,1
Lisboa,JAVA Developer,1
Lisboa,Operador de sistemas distribuídos,1
Lisboa,Analista Funcional Sénior,1
Lisboa,Banking Sector | Quality Assurance Engineer,1
Lisboa,Quality Assurance Tester,2
Lisboa,Outsystems Tech Lead,2
Lisboa,Software Developer – Fullstack Javascript – Node.js and React or Vue.js,1
Lisboa,Mulesoft Developer,3
Lisboa,Senior DevOps/SRE Engineer,1
Lisboa,FinOps Practioner,1
Lisboa,Backend Developer & Data Specialist,1
Lisboa,Talent Acquisition Manager,1
Lisboa,Python Dev (Django),1
Lisboa,Senior Full Stack .NET,1
Lisboa,Android Developer,1
Lisboa,Webmethods Developers,1
Lisboa,Consultor de Infraestruturas de TI/ Gestor de Projetos,1
Lisboa,Sénior Java Developer,1
Lisboa,SQL Developer,1
Lisboa,Administrador de Segurança – F5 e A10,1
Lisboa,Power Apps Senior Developer,1
Lisboa,Senior Infrastructure Engineer,1
Lisboa,System Engineer - DevOps,1
Lisboa,BI Consultant - Looker,1
Lisboa,Flutter Developer,1
Lisboa,Power BI Developer and Team Leader,1
Lisboa,SAP BW Developer,1
Lisboa,ServiceNow Developer,1
Lisboa,Umbraco Developer,1
Lisboa,Salesforce Consultant,1
Lisboa,Fullstack Developer (Node.JS / Angular),1
Lisboa,IT Security Professional,1
Lisboa,TIBCO Consultant,1
Lisboa,Technical Services - Networking & Infrastructure,1
Lisboa,Cloud  Architect,1
Lisboa,Data Engineer - Senior Databricks Engineer,1
Lisboa,SAP ABAP Consultant,1
Lisboa,Site Reliability Engineering,1
Lisboa,Business Intelligence Developer,2
Lisboa,Microsoft Tech Lead,1
Lisboa,Nearshore - Software Engineer - NET Developer,1
Lisboa,C++ Developer,3
Lisboa,Service Desk/Desktop Management,1
Lisboa,React Native Senior Developer,1
Lisboa,Consultor SOC/SIEM,1
Lisboa,Power BI Developer,1
Lisboa,Azure AI Engineer,1
Lisboa,IT Business Analyst,2
Lisboa,Dynamics 365 Team Leader,1
Lisboa,QA Analyst,1
Lisboa,Consultor de Integração de Dados & Streaming Kafka,1
Lisboa,SAP Business Analyst,1
